trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1056,200926413252,0.2117,0.1727,0.0808,0.2339,0.1253,0.4598
1057,200926814128,0.1329,0.0216,0.0925,0.2496,0.0035,0.0754
1058,200926910163,0.1714,0.1493,0.0864,0.1409,0.1153,0.429
1059,200927010148,0.1544,0.0558,0.0831,0.1109,0.0747,0.071
1060,200927010148,0.9843,0.1744,0.9986,0.8095,0.2087,0.1098
1061,200927010148,0.1643,0.1804,0.0743,0.1252,0.1638,0.2098
1062,200927115257,0.1249,0.0221,0.4003,0.0894,0.0131,0.0339
1063,200927146317,0.9508,0.0277,0.9902,0.1351,0.0686,0.067
1064,200927207164,0.0971,0.0208,0.0939,0.0282,0.0642,0.0277
1065,200927207164,0.1876,0.9667,0.0775,0.1789,0.9734,0.4652
1066,200927915311,0.2158,0.6664,0.099,0.2169,0.055,0.8406
1067,200928115144,0.1101,0.7672,0.0771,0.0689,0.8572,0.0612
1068,200928216252,0.97,0.1579,0.9949,0.6968,0.1703,0.1071
1069,200928710154,0.1325,0.0939,0.305,0.0747,0.3039,0.0013
1070,200928807267,0.111,0.0541,0.071,0.0774,0.0306,0.0929
1071,200928912230,0.7995,0.1233,0.0733,0.7867,0.2118,0.0321
1072,200929912153,0.2189,0.3851,0.1107,0.2232,0.5803,0.0411
1073,200930811279,0.1361,0.0658,0.0444,0.106,0.0253,0.1174
1074,200931120157,0.829,0.0917,0.9631,0.2048,0.1,0.1446
1075,200931710073,0.7717,0.5158,0.0434,0.7916,0.7026,0.0518
1076,200932406129,0.9969,0.267,1.0,0.788,0.3869,0.0527
1077,200932506148,0.0779,0.1575,0.049,0.1002,0.1258,0.2107
1078,200932506148,1.0,0.2774,0.9902,0.9991,0.3664,0.1214
1079,200932512066,0.0474,0.0169,0.0542,0.2683,0.0301,0.0156
1080,200933707096,0.1737,0.0844,0.0934,0.1275,0.1214,0.071
1081,200933707096,0.7489,0.1597,0.0416,0.7518,0.19,0.0844
1082,200934209140,0.7677,0.1008,0.9225,0.3368,0.1476,0.0379
