trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
2368,76,13,26,37,63,0.8289473684210527,0.34210526315789475,0.4868421052631579,Speed,5,0.13513513513513514,2.9976594422364764,5,4,4,5,0,0,0,3,5,3,0,0,0,0,3,5,0
2369,76,11,38,27,65,0.8552631578947368,0.5,0.35526315789473684,Localization,5,0.18518518518518517,2.46221929931998,3,3,4,0,0,0,5,1,5,3,0,3,0,0,0,0,0
2370,76,11,31,34,65,0.8552631578947368,0.40789473684210525,0.4473684210526316,Speed,5,0.14705882352941177,2.8474416805310736,0,0,2,5,5,1,5,0,0,0,3,5,0,1,0,5,2
2371,76,16,42,18,60,0.7894736842105263,0.5526315789473685,0.23684210526315788,Sampling_Gaps,5,0.2777777777777778,2.1315872537947933,0,0,0,2,3,0,0,0,0,2,2,5,0,1,1,1,1
2372,76,3,44,29,73,0.9605263157894737,0.5789473684210527,0.3815789473684211,Speed,3,0.10344827586206896,2.497809372134214,3,3,0,0,3,1,3,1,3,2,3,0,3,1,0,3,0
2373,76,22,37,17,54,0.7105263157894737,0.4868421052631579,0.2236842105263158,Displacement,7,0.4117647058823529,2.0833386372239158,2,0,7,0,1,0,0,1,2,0,0,0,0,2,0,1,1
2374,76,10,59,7,66,0.868421052631579,0.7763157894736842,0.09210526315789473,Phase_Change,2,0.2857142857142857,1.1650956600064506,2,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0
2375,76,3,49,24,73,0.9605263157894737,0.6447368421052632,0.3157894736842105,Sequence_Complexity,3,0.125,2.1110196861174084,2,3,3,3,0,0,3,0,0,3,2,0,3,0,0,2,0
2376,76,6,56,14,70,0.9210526315789473,0.7368421052631579,0.18421052631578946,Displacement,4,0.2857142857142857,1.4916572747367929,4,1,4,0,0,0,0,0,0,0,3,0,1,1,0,0,0
2377,76,15,33,28,61,0.8026315789473685,0.4342105263157895,0.3684210526315789,Localization,6,0.21428571428571427,2.6280924490980007,3,0,6,0,0,0,0,1,6,3,3,0,0,1,1,3,1
2378,76,11,56,9,65,0.8552631578947368,0.7368421052631579,0.11842105263157894,Displacement,4,0.4444444444444444,1.3102219418615315,0,0,4,0,0,0,0,2,0,0,1,0,0,2,0,0,0
2379,76,1,70,5,75,0.9868421052631579,0.9210526315789473,0.06578947368421052,Localization,2,0.4,0.549903682046906,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0
2380,76,15,41,20,61,0.8026315789473685,0.5394736842105263,0.2631578947368421,Duration,6,0.3,2.0506637361189832,1,0,5,6,2,0,0,0,0,0,0,5,0,1,0,0,0
2381,76,21,36,19,55,0.7236842105263158,0.47368421052631576,0.25,Speed,6,0.3157894736842105,2.13101579050598,0,1,3,0,3,0,0,0,3,0,0,0,3,0,0,6,0
2382,76,7,64,5,69,0.9078947368421053,0.8421052631578947,0.06578947368421052,Speed,2,0.4,0.884092191675122,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0
2383,76,13,35,28,63,0.8289473684210527,0.4605263157894737,0.3684210526315789,Sampling_Gaps,4,0.14285714285714285,2.6013433432694413,3,0,4,4,4,1,4,0,0,0,0,4,3,0,0,0,1
