rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00169,Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Speed_Dynamics,Uncommon Spatial_Reach_and_Route,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,4670,428,45,0.009635974304068522,0.10514018691588785,53,0.011349036402569594,0.8490566037735849,0.09164882226980728,9.264239111267855,55.75058411214953,finite,0.008595848483875849
R00170,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,4670,569,73,0.01563169164882227,0.1282952548330404,86,0.01841541755888651,0.8488372093023255,0.12184154175588865,6.966730698491846,40.47221846694606,finite,0.013387928781369074
R00171,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,4670,474,50,0.010706638115631691,0.10548523206751055,59,0.012633832976445396,0.847457627118644,0.10149892933618844,8.349424300936851,49.179559306141584,finite,0.009424317595110253
R00172,Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry,Curvature_Geometry__x__Turning_Dynamics,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Temporal_Sequential_Context,2,4670,545,50,0.010706638115631691,0.09174311926605505,59,0.012633832976445396,0.847457627118644,0.11670235546038545,7.261701135126729,42.04892966360856,finite,0.009232240048787421
R00173,Curvature_Geometry__x__Turning_Dynamics=Uncommon Turning_Dynamics,Curvature_Geometry__x__Turning_Dynamics,Uncommon Turning_Dynamics,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,4670,589,50,0.010706638115631691,0.08488964346349745,59,0.012633832976445396,0.847457627118644,0.12612419700214134,6.719231101263272,38.492737219392566,finite,0.009113206076418343
R00174,Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,Speed_Dynamics__x__Temporal_Sequential_Context,Uncommon Speed_Dynamics,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,4670,528,61,0.013062098501070664,0.11553030303030302,72,0.015417558886509636,0.8472222222222222,0.11306209850107066,7.493423821548822,43.50241046831956,finite,0.011318956939598054
R00175,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry;Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,2,4670,394,66,0.014132762312633832,0.16751269035532995,78,0.01670235546038544,0.8461538461538461,0.08436830835117773,10.029285435376806,59.69035532994924,finite,0.012723612836961056
R00176,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,Curvature_Geometry__x__Speed_Dynamics,Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Acceleration_Dynamics;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,2,4670,557,55,0.011777301927194861,0.09874326750448834,65,0.013918629550321198,0.8461538461538461,0.11927194860813704,7.094323988399393,40.61310592459605,finite,0.010117199858773254
R00177,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,Curvature_Geometry__x__Spatial_Reach_and_Route,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Acceleration_Dynamics;Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Spatial_Reach_and_Route,2,4670,565,88,0.018843683083511777,0.15575221238938053,104,0.02226980728051392,0.8461538461538461,0.12098501070663811,6.993873383253915,39.96017699115044,finite,0.016149370211244032
R00178,Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,2,4670,483,71,0.015203426124197002,0.14699792960662525,84,0.017987152034261242,0.8452380952380952,0.10342612419700214,8.17238489598738,47.34464086637999,finite,0.013343084703951139
