rule_id,feature,feature_role,feature_nodes,n_neighbor_pairs,mean_positive_value,mean_counterexample_value,mean_raw_difference,mean_absolute_robust_standardized_difference
R00004,speed_quant_10,target,Kinematic,35,2.7062464238233894,3.1533723034341965,-0.44712587961080785,0.9515629647561173
R00004,speed_quant_05,target,Kinematic,35,2.310790555209697,2.8437380403072936,-0.5329474850975962,0.9110703289761144
R00004,acceleration_skew,antecedent_and_target,Acceleration;Kinematic,35,1.1916750695249558,0.743627126667838,0.44804794285711774,0.8947657127015776
R00004,speed_skew,target,Kinematic,35,0.5262965148078648,0.2768488731917081,0.2494476416161568,0.8666814456871683
R00004,median_distance_to_centroid_m,antecedent_and_target,Spatial_Context,35,493862.86379506055,720246.9157248642,-226384.05192980368,0.8581639044873679
R00004,radius_of_gyration_m,antecedent_and_target,Spatial_Context,35,562881.8372705134,816741.765450657,-253859.92818014367,0.8525194377165016
R00004,mean_distance_to_centroid_m,antecedent_and_target,Spatial_Context,35,499664.02750247193,727288.0396359848,-227624.01213351302,0.8522055543599155
R00004,bbox_diagonal_m,antecedent_and_target,Spatial_Context,35,1836458.5166701546,2600702.583664707,-764244.0669945519,0.8209691224334809
R00004,bbox_height_m,antecedent_and_target,Spatial_Context,35,862261.4050113779,1637056.6846105224,-774795.2795991446,0.8201189112871733
R00004,bbox_lat_span_deg,antecedent_and_target,Spatial_Context,35,7.7545031147657335,14.722404465839276,-6.967901351073544,0.8201189112871733
R00004,path_length_m,antecedent_and_target,Spatial_Context,35,2098200.191071637,2862487.3738345914,-764287.1827629539,0.8169694250399823
R00004,net_displacement_m,antecedent_and_target,Spatial_Context,35,1777853.063916392,2520538.9293815955,-742685.8654652032,0.8030802593265187
R00004,bbox_lon_span_deg,antecedent_and_target,Spatial_Context,35,14.443637305407275,19.605057737002745,-5.161420431595471,0.7657912762569773
R00004,bbox_width_m,antecedent_and_target,Spatial_Context,35,1509641.5339585964,2008001.9747107106,-498360.4407521142,0.7239212667047121
R00004,speed_vcoef,target,Kinematic,35,0.44045387093825733,0.4773161761662572,-0.0368623052279999,0.7181222537271077
R00004,relative_grid_entropy_3x3,antecedent,Sequence_Complexity;SpatioTemporal_Dynamics,35,2.0921109044153545,2.0463253516316513,0.045785552783703554,0.5905729864258222
R00004,directness_ratio,antecedent_and_target,Spatial_Context,35,0.8369804662366054,0.8647633249969353,-0.027782858760329626,0.5744158813443876
R00004,relative_transition_entropy_3x3,antecedent,Sequence_Complexity;SpatioTemporal_Dynamics,35,2.412574054426334,2.353974536538928,0.058599517887405535,0.5309989744270885
R00004,relative_grid_revisit_ratio_3x3,antecedent,Sequence_Complexity;SpatioTemporal_Dynamics,35,0.9061224489795917,0.9132653061224489,-0.007142857142857133,0.5142857142857159
R00004,relative_grid_unique_cells_3x3,antecedent,Sequence_Complexity;SpatioTemporal_Dynamics,35,5.257142857142857,4.857142857142857,0.4,0.5142857142857142
R00004,speed_0s,target,Kinematic,35,0.11428571428571428,0.0,0.11428571428571428,0.30068497893473817
R00004,acceleration_0s,antecedent_and_target,Acceleration;Kinematic,35,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857
R00005,acceleration_quant_median,antecedent_and_target,Acceleration;Kinematic,42,2.531764440396189e-06,1.2819539614811548e-05,-1.028777517441536e-05,4.403957872517599
R00005,acceleration_vcoef,antecedent_and_target,Acceleration;Kinematic,42,2.4928145470601812,17.853386165861984,-15.360571618801806,4.335162662161913
R00005,speed_iqr,target,Kinematic,42,3.448935901604275,7.198005918980311,-3.7490700173760354,2.316972076370202
R00005,speed_progress_slope,antecedent,SpatioTemporal_Dynamics,42,1.414493749365731,8.911522975556814,-7.497029226191082,1.931089397921343
R00005,acceleration_quant_10,antecedent_and_target,Acceleration;Kinematic,42,-0.0001460982695427805,-0.00015228651761519844,6.1882480724179635e-06,1.8428058404923813
R00005,acceleration_mean,antecedent_and_target,Acceleration;Kinematic,42,1.1103100986714026e-05,1.750949449918846e-05,-6.406393512474436e-06,1.662093714355049
R00005,acceleration_quant_min,antecedent_and_target,Acceleration;Kinematic,42,-0.000344718390942982,-0.00043223247345491227,8.751408251193026e-05,1.6142009938635695
R00005,speed_meanse,target,Kinematic,42,0.350749742141773,0.5797418024810399,-0.228992060339267,1.6125111164568708
R00005,speed_sd,target,Kinematic,42,2.6012297070210106,4.299480278466002,-1.6982505714449905,1.6125111164568702
R00005,acceleration_quant_05,antecedent_and_target,Acceleration;Kinematic,42,-0.00019723826713298248,-0.0002320654038902382,3.48271367572557e-05,1.5925971188653254
R00005,acceleration_progress_slope,antecedent,SpatioTemporal_Dynamics,42,-5.133387215042584e-05,-1.636947118915525e-05,-3.496440096127059e-05,1.5630682906374789
R00005,acceleration_meanse,antecedent_and_target,Acceleration;Kinematic,42,2.1083833127493112e-05,2.296481570214558e-05,-1.8809825746524699e-06,1.5024401346033427
R00005,acceleration_sd,antecedent_and_target,Acceleration;Kinematic,42,0.00015636189134229185,0.0001703116314666828,-1.3949740124390948e-05,1.5024401346033422
R00005,acceleration_range,antecedent_and_target,Acceleration;Kinematic,42,0.00096569839858385,0.001082493788081315,-0.00011679538949746496,1.4128546096417116
R00005,acceleration_quant_25,antecedent_and_target,Acceleration;Kinematic,42,-6.564699511828822e-05,-6.042515861880825e-05,-5.2218364994799755e-06,1.409218371830594
R00005,relative_grid_entropy_3x3,antecedent,SpatioTemporal_Dynamics,42,2.1022969812342858,1.8158075590230192,0.28648942221126616,1.3767948976271636
R00005,speed_quant_75,target,Kinematic,42,8.212113116934331,10.899326012222815,-2.6872128952884857,1.3755715590666369
R00005,distance_geometry_5_5,antecedent_and_target,Geometric,42,0.9319630321744803,0.9566688023102555,-0.024705770135775098,1.3605685787658806
R00005,speed_mad,target,Kinematic,42,1.5010358617528687,2.277217726671854,-0.776181864918985,1.3329091990835613
