meta_pattern_id,trajectory_id,required_uncommon_counts,observed_uncommon_counts
MP00004,464,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,493,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=3
MP00004,514,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=3
MP00004,534,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,584,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=4
MP00004,659,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=3
MP00004,660,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=3
MP00004,665,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=3
MP00004,697,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,748,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=1;Turning_Dynamics=2
MP00004,774,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,775,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=3;Turning_Dynamics=2
MP00004,827,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=2;Turning_Dynamics=2
MP00004,830,Speed_Dynamics>=1;Turning_Dynamics>=2,Speed_Dynamics=4;Turning_Dynamics=4
