trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1567,316024578,0.2175,0.125,0.1844,0.4949,0.1217,0.1406
1568,316024578,0.1954,0.1341,0.14,0.498,0.1307,0.1429
1569,316024578,0.5053,0.1179,0.313,0.5461,0.167,0.0644
1570,316024578,0.2287,0.9812,0.1858,0.3392,0.9708,0.9945
1571,316024578,0.5587,0.8403,0.1727,0.7744,0.9304,0.1961
1572,316024578,0.1931,0.1038,0.1315,0.6511,0.124,0.1105
1573,316024578,0.9576,0.9945,0.9523,0.6894,0.9957,0.9181
1574,316024578,0.9339,0.2672,0.9614,0.6516,0.7394,0.0361
1575,316024578,0.1994,0.1059,0.1474,0.6195,0.1338,0.1063
1576,316024871,0.1839,0.0631,0.1702,0.1205,0.1174,0.033
1577,316024871,0.2228,0.1049,0.1683,0.259,0.1737,0.0429
1578,316026173,0.9141,0.0324,0.9337,0.1681,0.0366,0.0296
1579,316026464,0.8354,0.053,0.9614,0.4408,0.0092,0.0822
1580,316026464,0.8204,0.0511,0.9005,0.622,0.0202,0.0743
1581,316026464,0.8133,0.0321,0.8024,0.7846,0.0312,0.0393
1582,316026464,0.8514,0.0579,0.8205,0.7762,0.0394,0.0623
1583,316026464,0.8834,0.047,0.8452,0.8263,0.0793,0.0497
1584,316026464,0.8803,0.0258,0.8674,0.7101,0.0003,0.056
1585,316026464,0.8209,0.0404,0.8789,0.5129,0.0115,0.0683
1586,316026464,0.7045,0.0339,0.8545,0.3319,0.0,0.0694
1587,316026464,0.8943,0.0057,0.8753,0.8777,0.0056,0.0246
1588,316026464,0.7505,0.0376,0.8273,0.5762,0.0077,0.0668
1589,316026464,0.846,0.0887,0.8616,0.6663,0.1041,0.0775
1590,316026483,0.1939,0.1344,0.1241,0.6851,0.1678,0.1225
1591,316026483,0.1601,0.1088,0.1277,0.4349,0.1396,0.1094
1592,316026483,0.2093,0.1059,0.1529,0.6592,0.1338,0.1086
1593,316026483,0.2304,0.1297,0.1521,0.7577,0.177,0.1099
1594,316026483,0.2332,0.1591,0.1148,0.7448,0.2248,0.1018
1595,316026483,0.1923,0.0984,0.1491,0.4686,0.1248,0.1024
1596,316026483,0.1677,0.1051,0.1189,0.5927,0.1284,0.1105
1597,316026483,0.206,0.107,0.1285,0.7167,0.1345,0.1097
1598,316026483,0.1878,0.1049,0.1395,0.6215,0.1274,0.1097
1599,316026483,0.1794,0.107,0.1431,0.5481,0.1284,0.1141
1600,316026483,0.1875,0.1031,0.125,0.639,0.1263,0.1099
1601,316026483,0.1811,0.1158,0.1343,0.5959,0.1514,0.1141
1602,316026483,0.2053,0.0924,0.1403,0.7132,0.1419,0.0594
1603,316026483,0.1636,0.119,0.1291,0.4676,0.1355,0.1254
1604,316026989,0.9454,0.0738,0.875,0.9635,0.1056,0.1071
1605,316026989,0.9505,0.0793,0.8827,0.9648,0.1046,0.089
1606,316026989,0.9212,0.0736,0.9422,0.1076,0.0407,0.434
1607,316026989,0.8491,0.0616,0.9167,0.3359,0.0816,0.0717
1608,316026989,0.9261,0.0684,0.8739,0.9851,0.0992,0.0647
1609,316026989,0.8699,0.0151,0.8498,0.6901,0.0215,0.0194
1610,316026989,0.8938,0.0639,0.8347,0.9253,0.0903,0.0704
1611,316026989,0.9499,0.0637,0.8805,0.9646,0.1064,0.0482
1612,316026989,0.826,0.0123,0.82,0.6456,0.0077,0.0277
1613,316027744,0.8979,0.1307,0.866,0.9238,0.5934,0.0534
1614,316027744,0.9004,0.2335,0.8515,0.9273,0.8376,0.0448
1615,316027744,0.9405,0.264,0.9345,0.9367,0.8506,0.0581
1616,316027744,0.9578,0.0556,0.9756,0.0557,0.0322,0.0798
1617,316027848,0.9233,0.047,0.9671,0.0433,0.033,0.0576
1618,316027848,0.858,0.0689,0.9466,0.0684,0.0258,0.1437
1619,316028504,0.2121,0.0827,0.1896,0.0995,0.11,0.0403
1620,316028504,0.8963,0.0472,0.9496,0.3648,0.0046,0.0812
1621,316028504,0.1791,0.0968,0.1779,0.0354,0.1335,0.0322
1622,316028504,0.2421,0.3592,0.8024,0.0575,0.7826,0.0065
1623,316028504,0.3471,0.0751,0.9323,0.0319,0.1072,0.0414
1624,316028504,0.6606,0.0347,0.9435,0.0858,0.0358,0.0435
1625,316028504,0.842,0.6243,0.8772,0.6967,0.7082,0.0626
1626,316028504,0.1166,0.0441,0.1951,0.0473,0.0568,0.0495
1627,316028504,0.828,0.2212,0.8298,0.7724,0.6504,0.0545
1628,316028504,0.9675,0.0112,0.9825,0.1273,0.0246,0.0207
1629,316028504,0.8514,0.0937,0.9079,0.577,0.5921,0.0387
1630,316028504,0.8948,0.6608,0.9359,0.3651,0.0494,0.8482
1631,316028504,0.8041,0.0937,0.9224,0.3043,0.0836,0.0812
1632,316028504,0.1918,0.0882,0.1589,0.119,0.1335,0.0791
1633,316028554,0.2154,0.9363,0.1828,0.2491,0.656,0.9628
1634,316028554,0.1989,0.8312,0.1705,0.0858,0.6061,0.9285
1635,316028554,0.2111,0.5982,0.1644,0.2144,0.0504,0.7717
1636,316028554,0.2063,0.9136,0.1869,0.1033,0.6425,0.9571
1637,316028554,0.1834,0.6162,0.1622,0.0861,0.0806,0.7882
1638,316028554,0.2215,0.1023,0.1658,0.2668,0.1376,0.1021
1639,316028554,0.2177,0.1117,0.1557,0.3048,0.1527,0.0293
1640,316028554,0.2436,0.0728,0.1888,0.2473,0.0251,0.1215
1641,316028554,0.1311,0.1263,0.1156,0.0684,0.0153,0.6356
1642,316028554,0.218,0.0715,0.1918,0.1061,0.0256,0.1123
1643,316028554,0.22,0.9241,0.1938,0.1722,0.9739,0.0149
1644,316028554,0.2266,0.8247,0.1595,0.2876,0.9031,0.2099
1645,316028554,0.1875,0.8388,0.1716,0.0504,0.6015,0.9296
1646,316028554,0.1951,0.6157,0.1639,0.1,0.0565,0.7861
1647,316028702,0.8491,0.0595,0.9186,0.082,0.0317,0.1003
1648,316028702,0.8811,0.1171,0.8717,0.8792,0.1335,0.0819
1649,316028702,0.1651,0.0274,0.1551,0.0324,0.0414,0.0241
1650,316028702,0.9322,0.0381,0.9825,0.0858,0.0289,0.0584
1651,316028702,0.9474,0.1137,0.9627,0.4803,0.6054,0.0157
1652,316028702,0.216,0.0952,0.1735,0.1762,0.1325,0.0911
1653,316028702,0.9527,0.8442,0.9641,0.6408,0.6708,0.8935
1654,316028722,0.173,0.9603,0.171,0.2448,0.8077,0.9851
1655,316028722,0.2167,0.9418,0.2403,0.0349,0.7003,0.973
1656,316028722,0.2114,0.8756,0.1938,0.1008,0.822,0.8856
1657,316028722,0.1578,0.9833,0.1559,0.0167,0.746,0.9963
1658,316028722,0.1522,0.951,0.1644,0.1218,0.8552,0.9835
1659,316030409,0.2551,0.1153,0.1757,0.3613,0.1496,0.1168
1660,316030409,0.236,0.0999,0.1642,0.3359,0.1517,0.094
1661,316030409,0.2231,0.0973,0.1699,0.2605,0.1419,0.0895
1662,316030409,0.295,0.7769,0.1729,0.4691,0.156,0.8746
1663,316030409,0.282,0.1083,0.1781,0.403,0.1404,0.1105
1664,316030409,0.2132,0.1135,0.1718,0.1803,0.1491,0.1144
1665,316030409,0.2566,0.664,0.1581,0.4033,0.1353,0.8529
1666,316030409,0.2121,0.1391,0.1647,0.2451,0.1509,0.5568
1667,316030409,0.2172,0.3316,0.171,0.2177,0.1425,0.8207
1668,316030409,0.2099,0.0744,0.1718,0.1587,0.1442,0.0424
1669,316030409,0.2167,0.173,0.1694,0.2261,0.1338,0.6877
1670,316030409,0.2182,0.0942,0.1713,0.2157,0.1481,0.0644
1671,316030409,0.2373,0.0986,0.1759,0.3028,0.1522,0.0644
1672,316030409,0.2086,0.0806,0.1718,0.1329,0.1481,0.0442
1673,316030626,0.5747,0.6561,0.7665,0.3749,0.7026,0.627
1674,316030626,0.828,0.7154,0.9098,0.1154,0.6442,0.8505
1675,316030626,0.2144,0.6749,0.1713,0.2884,0.6146,0.8348
1676,316030626,0.8224,0.7284,0.9024,0.2035,0.6399,0.8586
1677,316030626,0.1085,0.6744,0.117,0.0997,0.6212,0.8223
1678,316030626,0.2922,0.6561,0.1458,0.3884,0.6207,0.801
1679,316030626,0.8491,0.7282,0.9104,0.3195,0.6486,0.8571
1680,316030626,0.2401,0.6851,0.2354,0.2446,0.6153,0.8476
1681,316030626,0.6669,0.8315,0.8254,0.3291,0.745,0.8856
1682,316030626,0.7538,0.6394,0.9213,0.3058,0.6292,0.7613
1683,316030626,0.6959,0.7055,0.8791,0.4116,0.7348,0.6966
1684,316030626,0.9588,0.5917,0.9731,0.1228,0.5957,0.6319
1685,316030626,0.421,0.7942,0.7101,0.3025,0.656,0.8848
1686,316030626,0.7101,0.6919,0.9153,0.3681,0.7041,0.7293
1687,316030628,0.4159,0.6454,0.1913,0.4937,0.6164,0.7846
1688,316030628,0.3788,0.736,0.2258,0.4737,0.691,0.8346
1689,316030628,0.2929,0.6126,0.1847,0.5435,0.633,0.6147
1690,316030628,0.4179,0.8675,0.2628,0.382,0.8266,0.8882
1691,316030628,0.2137,0.6131,0.1737,0.4129,0.6399,0.2586
1692,316030628,0.3331,0.6212,0.1628,0.5547,0.6358,0.6579
1693,316030628,0.5074,0.875,0.2168,0.5165,0.8072,0.8961
1694,316030628,0.2658,0.605,0.1677,0.4625,0.6261,0.5838
1695,316030628,0.373,0.8641,0.2094,0.4456,0.8335,0.878
1696,316030628,0.5859,0.7039,0.8564,0.3408,0.6174,0.8482
1697,316030628,0.8135,0.8276,0.9301,0.3585,0.7026,0.8898
1698,316030628,0.2782,0.6567,0.1584,0.5041,0.6371,0.7793
1699,316030628,0.8501,0.766,0.9474,0.4263,0.6987,0.8599
1700,316030628,0.362,0.6614,0.2677,0.4134,0.6118,0.8168
