trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
509,257,0.0698,0.1243,0.0514,0.1474,0.1205,0.0946
510,257,0.0297,0.1481,0.0385,0.0605,0.1867,0.1376
511,257,0.072,0.0885,0.1723,0.0174,0.1009,0.0495
512,257,0.7825,0.2976,0.0552,0.9509,0.4119,0.1223
513,257,1.0,0.9888,1.0,0.9924,0.3983,1.0
514,257,0.6481,0.1815,0.0506,0.9108,0.1898,0.0983
515,257,0.0846,0.1823,0.068,0.1701,0.1935,0.1164
516,257,0.0742,0.1198,0.1466,0.0302,0.1265,0.083
517,257,0.2183,0.0804,0.2094,0.3197,0.0761,0.0895
518,257,0.0468,0.1287,0.0461,0.1353,0.122,0.1346
519,257,0.2034,0.1726,0.263,0.1776,0.1852,0.1514
520,257,0.0245,0.1369,0.0658,0.0249,0.1386,0.1288
521,257,0.0935,0.1354,0.0537,0.2819,0.1446,0.0917
522,257,0.2227,0.6749,0.0922,0.4006,0.6898,0.6281
523,257,0.0935,0.0975,0.0091,0.384,0.1197,0.0517
524,257,0.3786,0.1317,0.2759,0.446,0.137,0.1026
525,257,0.2064,0.8601,0.1255,0.3621,0.878,0.5415
526,257,0.1039,0.189,0.1111,0.164,0.2568,0.1638
527,257,0.2658,0.0893,0.2245,0.3084,0.0986,0.067
528,257,0.2762,0.5707,0.2063,0.3296,0.6175,0.1004
529,257,0.1359,0.157,0.0998,0.2532,0.1589,0.1084
530,257,0.193,0.7448,0.2245,0.232,0.753,0.6849
531,257,0.8419,0.1927,0.898,0.5268,0.2108,0.1019
532,257,0.2346,0.1615,0.2698,0.2396,0.1747,0.0997
533,257,0.3185,0.1696,0.2464,0.3787,0.1852,0.107
534,257,0.1589,0.2247,0.0469,0.3311,0.2327,0.2555
535,257,0.0638,0.6949,0.0673,0.0967,0.5896,0.8523
536,257,0.0928,0.1607,0.0446,0.22,0.1657,0.1507
537,257,0.0468,0.0588,0.0363,0.164,0.055,0.0822
538,263,0.2457,0.7374,0.2336,0.3099,0.7033,0.9148
539,263,0.9332,0.276,0.1285,0.9856,0.3381,0.1557
540,263,0.1099,0.9769,0.1285,0.1421,0.9518,0.9942
541,263,0.2717,0.6131,0.5329,0.1013,0.6258,0.5233
542,263,0.0022,0.5603,0.0333,0.0189,0.619,0.0575
543,263,0.8166,0.0327,0.4384,0.9002,0.0369,0.0371
544,263,0.1975,0.8757,0.0431,0.5117,0.9044,0.0153
545,263,0.2962,0.3676,0.2283,0.4573,0.3411,0.6747
546,263,0.7676,0.7619,0.9456,0.0431,0.7643,0.8006
547,263,0.2324,0.1131,0.0408,0.5813,0.1024,0.1317
548,263,0.15,1.0,0.2396,0.1013,0.8727,1.0
549,263,0.1552,0.9449,0.1451,0.1912,0.9096,0.9971
550,263,0.3237,0.8363,0.1187,0.5782,0.7643,0.9498
551,263,0.3846,0.0908,0.712,0.1066,0.1815,0.0531
552,263,0.0171,0.91,0.0151,0.062,0.9164,0.2409
553,263,0.1076,0.8757,0.0355,0.2487,0.8321,0.9563
554,263,0.0148,0.9978,0.0348,0.0219,0.6047,0.9993
555,263,0.1745,0.0372,0.0317,0.4679,0.0271,0.3574
556,263,0.9748,0.5885,0.9924,0.1859,0.564,0.8508
557,263,0.7721,0.9903,0.74,0.6757,0.9518,0.9993
558,263,0.3215,0.7768,0.1686,0.5472,0.7922,0.4316
559,263,0.0386,0.5707,0.0733,0.0333,0.5964,0.1827
560,263,0.1559,0.1845,0.1383,0.3099,0.2041,0.1397
561,263,0.9755,0.9821,0.9622,0.8519,0.9827,0.69
562,264,0.0787,0.0238,0.0076,0.2562,0.0331,0.0153
563,264,0.0728,0.1086,0.0544,0.2215,0.1077,0.0677
564,264,0.0668,0.1265,0.0302,0.2283,0.1453,0.0357
565,264,0.8931,0.6302,0.9274,0.4255,0.634,0.5509
566,264,0.1351,0.0878,0.2048,0.1376,0.0791,0.091
567,264,0.9829,0.1406,0.0688,0.9985,0.137,0.1536
568,264,0.2324,0.122,0.0597,0.5661,0.1197,0.1339
569,264,0.1901,0.1265,0.0008,0.3832,0.1227,0.1252
570,264,0.0913,0.1451,0.1678,0.0771,0.1506,0.1499
571,264,0.34,0.1838,0.0295,0.5752,0.1905,0.1448
572,264,0.1581,0.1481,0.1738,0.1807,0.1483,0.1361
573,264,0.245,0.119,0.6342,0.0083,0.1325,0.048
574,264,0.1477,0.1198,0.1368,0.2139,0.119,0.0939
575,264,0.0638,0.1964,0.0265,0.1376,0.1815,0.2707
576,264,0.0624,0.1332,0.065,0.1255,0.134,0.1143
577,264,0.9889,0.9963,0.9924,0.2177,0.9925,0.9985
578,264,0.196,0.0193,0.1224,0.3084,0.0203,0.0539
579,264,0.2435,0.1689,0.2729,0.3039,0.1875,0.0888
580,264,0.0787,0.1347,0.1051,0.155,0.1514,0.0495
581,264,0.1952,0.0952,0.1217,0.3008,0.1303,0.1172
582,264,0.1344,0.093,0.059,0.3462,0.0911,0.0611
583,264,0.0802,0.0565,0.198,0.0454,0.055,0.0779
584,264,0.2465,0.0246,0.0763,0.5926,0.0203,0.056
585,264,0.8834,0.0655,0.2661,0.941,0.0776,0.0568
586,264,0.6229,0.9821,0.2268,0.7105,0.9714,0.992
587,264,0.9161,0.067,0.9169,0.6939,0.0678,0.048
588,264,0.7298,0.0372,0.0068,0.9131,0.0414,0.0451
589,264,0.2791,0.0952,0.099,0.5329,0.1559,0.0502
590,264,0.4788,0.0491,0.7717,0.0635,0.0331,0.1783
591,264,0.3667,0.1235,0.384,0.4021,0.1393,0.0764
592,264,0.6533,0.0342,0.7642,0.4467,0.0233,0.0837
593,264,0.1596,0.1525,0.1587,0.1814,0.2169,0.1303
594,264,0.4543,0.1235,0.5835,0.3636,0.1363,0.0742
595,264,0.1522,0.1481,0.1738,0.2252,0.1242,0.3319
596,264,0.0735,0.1079,0.1156,0.099,0.1099,0.0837
597,264,0.9896,0.0982,0.9955,0.2109,0.1175,0.0852
598,264,0.1938,0.2106,0.0499,0.4543,0.2221,0.3093
